Clustername 1	Clustername 2	Raw distance	Squared similarity	Jaccard index	DSS index	Adjacency index	raw DSS non-anchor	raw DSS anchor	Non-anchor domains	Anchor domains	Combined group	Shared group
ADYL01000016.1.region002	GL384071.1.region001	0.0545814149081707	0.8938162922859192	1.0	0.9454185962677002	1.0	0.08966151624917984	0.02827133797109127	9	3	NRPS - NRPS	NRPS
c02189_NODE_21...region001	c02679_NODE_26...region001	0.23166446387767792	0.5903394818305969	1.0	0.7683355212211609	1.0	0.24576270580291748	0.2304896116256714	1	3	NRPS - NRPS	NRPS
c01700_NODE_17...region001	c01971_NODE_19...region001	0.16850829124450684	0.6913784742355347	0.4000000059604645	0.8314917087554932	0.25	0.5	0.0027624310459941626	2	1	NRPS-like - NRPS-like	NRPS-like
BGC0000305.1	BGC0001509.1	0.21438859403133392	0.6171852946281433	1.0	0.7856113910675049	1.0	0.16288095712661743	0.2296067625284195	26	22	nrps - nrps	nrps
ADYE01000045.1.region001	ADYF01000056.1.region001	0.05369439348578453	0.895494282245636	1.0	0.9463056325912476	1.0	0.04740944132208824	0.05840810388326645	9	3	NRPS - NRPS	NRPS
ADYE01000045.1.region001	ADYU01000021.1.region001	0.031627312302589417	0.9377456307411194	1.0	0.9683727025985718	1.0	0.03110719658434391	0.032450828701257706	19	3	NRPS - NRPS	NRPS
ADYG01000071.1.region001	ADYP01000021.1.region001	0.12296567112207413	0.7691892385482788	0.8181818127632141	0.8770343065261841	0.6666666865348816	0.22269926965236664	0.03985435143113136	10	3	NRPS - NRPS	NRPS
ARBB01000003.1.region002	JAASAW010000032.region001	0.2979440987110138	0.49288249015808105	0.5769230723381042	0.7020559310913086	0.375	0.2979440987110138	0.0	22	0	oligosaccharide.T1PKS.PKS-like.NRPS - oligosaccharide.T1PKS.PKS-like.NRPS	oligosaccharide.T1PKS.PKS-like.NRPS
CP000438.1.region007	QOLE01000003.1.region003	0.24554099142551422	0.5692083835601807	0.8679245114326477	0.754459023475647	0.8115941882133484	0.20057283341884613	0.2814290225505829	83	26	NRPS - NRPS	NRPS
ADYS01000040.1.region001	GL383635.1.region001	0.0344100296497345	0.9323639869689941	1.0	0.9655899405479431	1.0	0.03001156821846962	0.043573495000600815	25	3	NRPS - NRPS	NRPS
JAAHGN010000034.region001	JAAHHD010000009.region001	0.14583413302898407	0.7295993566513062	0.9444444179534912	0.8541658520698547	0.8333333134651184	0.06355932354927063	0.31038373708724976	16	2	NRPS - NRPS-like	
ADYT01000010.1.region001	ADZB01000031.1.region001	0.016842588782310486	0.9665985107421875	1.0	0.9831573963165283	1.0	0.017308030277490616	0.015911703929305077	24	3	NRPS - NRPS	NRPS
ADYS01000040.1.region001	GL383245.1.region001	0.025956759229302406	0.9487602114677429	1.0	0.9740432500839233	1.0	0.033114008605480194	0.011642266064882278	24	3	NRPS - NRPS	NRPS
c02335_NODE_23...region001	c04028_NODE_40...region001	0.2643018364906311	0.5412517786026001	1.0	0.7356981635093689	1.0	0.0	0.2643018364906311	0	2	NRPS - NRPS	NRPS
GL383245.1.region001	GL383325.1.region001	0.03939744085073471	0.9227572679519653	0.9166666865348816	0.9606025815010071	0.8518518805503845	0.05242731049656868	0.013337701559066772	24	3	NRPS - NRPS	NRPS
c03194_NODE_31...region001	c04648_NODE_46...region001	0.24592074751853943	0.5686355233192444	0.6666666865348816	0.754079282283783	0.5	0.5	0.11888112127780914	2	1	NRPS-like - NRPS-like	NRPS-like
ADYF01000056.1.region001	ADZI01000031.1.region001	0.02738688327372074	0.9459762573242188	1.0	0.9726130962371826	1.0	0.04645320400595665	0.013087141327559948	9	3	NRPS - NRPS	NRPS
ADYT01000010.1.region001	ADZU01000002.1.region001	0.046510305255651474	0.9091426134109497	1.0	0.9534897208213806	1.0	0.0301308985799551	0.058794859796762466	9	3	NRPS - NRPS	NRPS
BGC0001716.1	LOIC01000018.1.region001	0.25845766067504883	0.5498850345611572	0.9285714030265808	0.7415423393249512	0.9375	0.2897281348705292	0.2471221387386322	29	20	T1PKS.NRPS - nrps	
ARHU01000046.1.region001	KL370766.1.region001	0.16616004705429077	0.6952890753746033	1.0	0.8338399529457092	0.96875	0.05432881787419319	0.2535281777381897	75	24	T3PKS.NRPS - T3PKS.NRPS	T3PKS.NRPS
ARGK01000115.1.region001	JAASAW010000004.region001	0.16874320805072784	0.6909878253936768	0.8421052694320679	0.8312568068504333	0.7400000095367432	0.18615196645259857	0.15169714391231537	47	12	lanthipeptide.NRPS - lanthipeptide.NRPS	lanthipeptide.NRPS
AZXC01000017.1.region003	KB898298.1.region001	0.06957357376813889	0.8656933307647705	0.7407407164573669	0.9304264187812805	0.65625	0.15962715446949005	0.013290087692439556	30	12	NRPS - NRPS	NRPS
ADYE01000045.1.region001	GL383364.1.region002	0.02814505621790886	0.944502055644989	1.0	0.9718549251556396	1.0	0.02542562037706375	0.032450828701257706	19	3	NRPS - NRPS	NRPS
ADYV01000051.1.region002	GL383810.1.region001	0.008392434567213058	0.9832855463027954	0.9444444179534912	0.9916075468063354	0.8571428656578064	0.013987391255795956	0.0	18	3	NRPS - NRPS	NRPS
c03042_NODE_30...region001	c06169_NODE_61...region001	0.1352817565202713	0.7477376461029053	1.0	0.8647182583808899	1.0	0.1916264146566391	0.09302325546741486	3	1	NRPS-like - NRPS-like	NRPS-like
ADYN01000035.1.region001	ADYV01000051.1.region002	0.04580701142549515	0.910484254360199	0.9444444179534912	0.9541929960250854	0.8571428656578064	0.07306812703609467	0.0026435786858201027	19	3	NRPS - NRPS	NRPS
AP012280.1.region011	CP000438.1.region002	0.00867441575974226	0.9827263951301575	1.0	0.9913255572319031	1.0	0.009112881496548653	0.0026455025654286146	55	1	NRPS-like - NRPS-like	NRPS-like
ADZE01000028.1.region001	ADZW01000010.1.region001	0.07306484878063202	0.8592087626457214	1.0	0.9269351363182068	1.0	0.11979684978723526	0.0496988482773304	6	3	NRPS - NRPS	NRPS
ADYO01000023.1.region001	ADYR01000020.1.region001	0.010601713322103024	0.9789089560508728	1.0	0.9893983006477356	1.0	0.01562790386378765	0.0026435786858201027	19	3	NRPS - NRPS	NRPS
c01150_NODE_11...region001	c08187_NODE_81...region001	0.20571057498455048	0.6308956742286682	1.0	0.7942894101142883	1.0	0.0	0.20571057498455048	0	2	NRPS - NRPS	NRPS
ADYG01000071.1.region001	GL384547.1.region001	0.08819615095853806	0.8313862681388855	0.9090909361839294	0.9118038415908813	0.9090909361839294	0.14925463497638702	0.03731409087777138	10	3	NRPS - NRPS	NRPS
ADZM01000008.1.region001	GL383701.1.region002	0.007515023462474346	0.9850264191627502	1.0	0.992484986782074	1.0	0.010828090831637383	0.0008888888987712562	24	3	NRPS - NRPS	NRPS
GL383669.1.region001	GL383821.1.region001	0.0424066036939621	0.9169850945472717	0.95652174949646	0.9575933814048767	0.8846153616905212	0.056155674159526825	0.014908462762832642	24	3	NRPS - NRPS	NRPS
c00453_NODE_45...region001	c00602_NODE_60...region001	0.2650179862976074	0.540198564529419	0.5833333134651184	0.7349820137023926	0.5	0.34502825140953064	0.125	7	1	NRPS - NRPS	NRPS
ADYO01000023.1.region001	ADZL01000027.1.region001	0.030266085639595985	0.9403838515281677	1.0	0.9697338938713074	1.0	0.02475140057504177	0.03899766877293587	19	3	NRPS - NRPS	NRPS
ADZM01000008.1.region001	GL384205.1.region001	0.049728959798812866	0.9030150771141052	0.95652174949646	0.9502710103988647	0.8846153616905212	0.055297188460826874	0.03859250247478485	24	3	NRPS - NRPS	NRPS
BDAX01000013.1.region001	LMFE01000001.1.region011	0.17549005150794983	0.6798166632652283	0.9268292784690857	0.8245099782943726	0.8444444537162781	0.09198600798845291	0.6034482717514038	41	2	NRPS - NRPS	NRPS
AQPE01000047.1.region002	AZXC01000019.1.region001	0.03391508758068085	0.9333200454711914	0.9714285731315613	0.966084897518158	0.930232584476471	0.03808153420686722	0.029019510373473167	47	10	NRPS - NRPS	NRPS
c00805_NODE_80...region001	c01270_NODE_12...region001	0.1921682357788086	0.6525921821594238	0.75	0.8078317642211914	0.6666666865348816	0.4483925402164459	0.0	3	1	NRPS - NRPS	NRPS
MUBJ01000018.1.region001	NKHQ01000006.1.region001	0.21786276996135712	0.6117386221885681	0.49056604504585266	0.7821372151374817	0.4642857015132904	0.1625373661518097	0.2554050087928772	38	14	NRPS - NRPS	NRPS
JNID01000007.1.region002	KI519460.1.region001	0.2859327495098114	0.5098920464515686	0.5348837375640869	0.714067280292511	0.37735849618911743	0.3942843973636627	0.09631732851266861	35	5	NRPS - phenazine.NRPS	
c01909_NODE_19...region001	c02089_NODE_20...region001	0.2567055821418762	0.5524865984916687	1.0	0.7432944178581238	1.0	0.04171304032206535	0.4716981053352356	4	1	NRPS-like - NRPS-like	NRPS-like
c01266_NODE_12...region001	c05653_NODE_56...region001	0.2886087894439697	0.5060774683952332	0.6666666865348816	0.7113912105560303	0.5	0.5952380895614624	0.1352941244840622	2	1	NRPS-like - NRPS-like	NRPS-like
NITY01000001.1.region002	NITZ01000003.1.region001	0.2603554427623749	0.5470740795135498	0.7083333134651184	0.7396445870399475	0.5925925970077515	0.23422391712665558	0.28368714451789856	50	14	NRPS - NRPS	NRPS
CP006937.1.region006	QOLE01000001.1.region004	0.007059975527226925	0.9859299063682556	1.0	0.9929400086402893	1.0	0.004222384188324213	0.013562789186835289	55	6	NRPS - NRPS	NRPS
ARHU01000069.1.region002	PGEW01000002.1.region004	0.17982816696166992	0.6726818680763245	0.9166666865348816	0.8201718330383301	0.9024389982223511	0.2459874004125595	0.024353966116905212	47	5	NRPS - NRPS	NRPS
CP000869.1.region002	CP009831.1.region007	0.06252045929431915	0.8788679242134094	1.0	0.937479555606842	1.0	0.06496766209602356	0.028871390968561172	55	1	NRPS-like - NRPS-like	NRPS-like
ADYU01000021.1.region001	ADYW01000016.1.region001	0.028912175446748734	0.9430115818977356	1.0	0.9710878133773804	1.0	0.023869428783655167	0.03899766877293587	24	3	NRPS - NRPS	NRPS
ADXS01000014.1.region002	ADYK01000018.1.region001	0.05706007778644562	0.8891357183456421	0.95652174949646	0.9429399371147156	0.8846153616905212	0.06609128415584564	0.03899766877293587	24	3	NRPS - NRPS	NRPS
GL383465.1.region001	GL384547.1.region001	0.020493673160672188	0.9594326615333557	1.0	0.9795063138008118	1.0	0.02437913604080677	0.014341693371534348	19	3	NRPS - NRPS	NRPS
ADYU01000021.1.region001	ADZM01000008.1.region001	0.009547478519380093	0.9809961915016174	1.0	0.9904525279998779	1.0	0.012987884692847729	0.0026666666381061077	24	3	NRPS - NRPS	NRPS
CP000468.1.region002	CP001969.1.region002	0.12804186344146729	0.7603110074996948	0.7906976938247681	0.8719581365585327	0.7647058963775635	0.19061525166034698	0.002895085606724024	56	7	T1PKS.NRPS - T1PKS.NRPS	T1PKS.NRPS
ADZF01000026.1.region001	GL383112.1.region002	0.02570969983935356	0.949241578578949	1.0	0.9742903113365173	1.0	0.016504453495144844	0.040284670889377594	19	3	NRPS - NRPS	NRPS
CP006937.1.region009	FM209186.1.region009	0.04624277353286743	0.909652829170227	1.0	0.9537572264671326	0.9800000190734863	0.10958904027938843	0.0	73	25	NRPS - NRPS	NRPS
CP006853.1.region005	CP006931.1.region006	0.013179587200284004	0.9738145470619202	1.0	0.9868203997612	1.0	0.01578802987933159	0.007201907224953175	55	6	NRPS - NRPS	NRPS
GL383688.1.region001	GL383972.1.region002	0.013548946008086205	0.9730857014656067	1.0	0.9864510297775269	1.0	0.020436545833945274	0.0026435786858201027	19	3	NRPS - NRPS	NRPS
c02000_NODE_20...region001	c06169_NODE_61...region001	0.12699858844280243	0.7621314525604248	0.75	0.8730013966560364	0.6666666865348816	0.12699858844280243	0.0	3	0	NRPS-like - NRPS-like	NRPS-like
GL383379.1.region002	GL383923.1.region001	0.0019358841236680746	0.996131956577301	1.0	0.9980641007423401	1.0	0.002865108661353588	0.0	25	3	NRPS - NRPS	NRPS
ADYU01000021.1.region001	GL383100.1.region001	0.0256595928221941	0.9493392109870911	1.0	0.9743403792381287	1.0	0.024808671325445175	0.027361435815691948	24	3	NRPS - NRPS	NRPS
JNID01000012.1.region001	PGEW01000001.1.region007	0.14316868782043457	0.7341598868370056	0.8837209343910217	0.8568313121795654	0.7346938848495483	0.16718333959579468	0.008086252957582474	45	2	NRPS-like - NRPS-like	NRPS-like
GL383379.1.region002	GL383465.1.region001	0.03032512217760086	0.9402693510055542	1.0	0.9696748852729797	1.0	0.025547930970788002	0.03987950459122658	24	3	NRPS - NRPS	NRPS
c00464_NODE_46...region001	c00715_NODE_71...region001	0.25991925597190857	0.5477194786071777	0.5454545617103577	0.740080714225769	0.5	0.4084445536136627	0.0	7	1	NRPS-like - NRPS-like	NRPS-like
BGC0001354.1	KE354369.1.region001	0.11507155746221542	0.7830983400344849	0.800000011920929	0.8849284648895264	0.8421052694320679	0.2517677843570709	0.06722787767648697	14	10	T1PKS.NRPS - nrps.t1pks	
GL383264.1.region001	GL383923.1.region001	0.0006930372910574079	0.9986144304275513	0.9583333134651184	0.9993069767951965	0.8888888955116272	0.0010395558783784509	0.0	24	3	NRPS - NRPS	NRPS
MKGQ01000041.1.region001	MKGR01000018.1.region001	0.1549702286720276	0.7140753269195557	0.1428571492433548	0.8450297713279724	0.09859155118465424	0.11849759519100189	0.1695592850446701	16	10	NRPS - NRPS	NRPS
ADYT01000010.1.region001	GL384205.1.region001	0.05017730966210365	0.9021631479263306	0.95652174949646	0.9498226642608643	0.8846153616905212	0.05641063302755356	0.03771067038178444	24	3	NRPS - NRPS	NRPS
ADZF01000026.1.region001	ADZL01000027.1.region001	0.022002151235938072	0.9564797878265381	1.0	0.9779978394508362	1.0	0.013504392467439175	0.03899766877293587	24	3	NRPS - NRPS	NRPS
GL383264.1.region001	GL383465.1.region001	0.02985788695514202	0.9411756992340088	0.95652174949646	0.970142126083374	0.8846153616905212	0.024629216641187668	0.03987950459122658	23	3	NRPS - NRPS	NRPS
ADZN01000006.1.region001	GL383810.1.region001	0.09889374673366547	0.8119924664497375	0.800000011920929	0.9011062383651733	0.739130437374115	0.1561105102300644	0.00353246764279902	20	3	NRPS - NRPS	NRPS
ADYT01000010.1.region001	GL383701.1.region002	0.008473296649754047	0.9831252098083496	1.0	0.99152672290802	1.0	0.012709945440292358	0.0	24	3	NRPS - NRPS	NRPS
ADXW01000032.1.region001	GL383283.1.region001	0.06018560379743576	0.8832510709762573	0.9444444179534912	0.9398143887519836	0.8571428656578064	0.0669497475028038	0.049475714564323425	19	3	NRPS - NRPS	NRPS
c01909_NODE_19...region001	c02486_NODE_24...region001	0.2993893325328827	0.49085530638694763	1.0	0.7006106972694397	1.0	0.1270805448293686	0.4716981053352356	4	1	NRPS-like - NRPS-like	NRPS-like
GL383688.1.region001	GL384524.1.region002	0.004690651781857014	0.9906406998634338	1.0	0.9953093528747559	1.0	0.00614708848297596	0.0017777777975425124	24	3	NRPS - NRPS	NRPS
ADZE01000028.1.region001	GL383727.1.region001	0.0525500662624836	0.8976613879203796	0.8888888955116272	0.9474499225616455	0.8095238208770752	0.07926884293556213	0.012471900321543217	18	3	NRPS - NRPS	NRPS
MKGQ01000010.1.region001	NJAI01000007.1.region001	0.1564684510231018	0.711545467376709	0.7037037014961243	0.8435315489768982	0.6666666865348816	0.18916000425815582	0.1346740871667862	24	9	T1PKS.NRPS - T1PKS.NRPS	T1PKS.NRPS
GL383283.1.region001	GL384205.1.region001	0.022778138518333435	0.9549625515937805	1.0	0.9772218465805054	1.0	0.011374875903129578	0.04558466374874115	24	3	NRPS - NRPS	NRPS
c00838_NODE_83...region001	c02510_NODE_25...region001	0.21062271296977997	0.6231164932250977	0.6666666865348816	0.7893772721290588	0.5	0.5	0.06593406945466995	2	1	NRPS-like - NRPS-like	NRPS-like
JAAHGK010001319.region001	JAAHHA010000701.region001	0.25644275546073914	0.5528773665428162	0.6666666865348816	0.7435572147369385	0.6000000238418579	0.007649158593267202	0.4430379867553711	3	1	NRPS-like - NRPS-like	NRPS-like
c01142_NODE_11...region001	c01907_NODE_19...region001	0.2859432101249695	0.50987708568573	0.6000000238418579	0.7140567898750305	0.5	0.5059523582458496	0.06593406945466995	4	1	NRPS-like - NRPS-like	NRPS-like
c00998_NODE_99...region001	c01393_NODE_13...region001	0.25920844078063965	0.5487720966339111	0.7142857313156128	0.7407915592193604	0.6666666865348816	0.20338982343673706	0.3289817273616791	5	1	NRPS - NRPS-like	
GL383112.1.region002	GL384452.1.region002	0.008637839928269386	0.9827989339828491	1.0	0.9913621544837952	1.0	0.013251213356852531	0.0013333333190530539	19	3	NRPS - NRPS	NRPS
ADZO01000045.1.region001	ADZU01000002.1.region001	0.0634322464466095	0.8771591782569885	1.0	0.9365677237510681	1.0	0.04531560093164444	0.07701973617076874	9	3	NRPS - NRPS	NRPS
ADXX01000073.1.region001	GL383502.1.region001	0.07053336501121521	0.8639082312583923	0.8823529481887817	0.9294666647911072	0.800000011920929	0.09217138588428497	0.03987950459122658	17	3	NRPS - NRPS	NRPS
CP000253.1.region002	CP001844.2.region002	0.009165642783045769	0.9817526936531067	1.0	0.9908343553543091	1.0	0.00799242127686739	0.012318676337599754	43	4	NRPS - NRPS	NRPS
GL383112.1.region002	GL383158.1.region001	0.03327303007245064	0.934561014175415	1.0	0.9667269587516785	1.0	0.09715242683887482	0.0013333333190530539	6	3	NRPS - NRPS	NRPS
ARGK01000098.1.region001	AZVY01000002.1.region003	0.14632770419120789	0.7287563681602478	0.7837837934494019	0.8536723256111145	0.760869562625885	0.21952247619628906	0.01518706139177084	43	6	T1PKS.NRPS - T1PKS.NRPS	T1PKS.NRPS
KB897386.1.region001	PGEW01000001.1.region007	0.1628776341676712	0.7007738351821899	0.7575757503509521	0.83712238073349	0.5945945978164673	0.18243831396102905	0.016172505915164948	30	1	NRPS-like - NRPS-like	NRPS-like
BX571856.1.region002	CP000255.1.region002	0.02411418966948986	0.9523531198501587	1.0	0.975885808467865	1.0	0.018992271274328232	0.0378793440759182	43	4	NRPS - NRPS	NRPS
ADYP01000021.1.region001	GL383923.1.region001	0.021878719329833984	0.9567212462425232	0.9583333134651184	0.978121280670166	0.8888888955116272	0.007527737412601709	0.05058068037033081	24	3	NRPS - NRPS	NRPS
c02153_NODE_21...region001	c07544_NODE_75...region001	0.13198322057724	0.7534531354904175	1.0	0.86801677942276	1.0	0.19815693795681	0.08235294371843338	3	1	NRPS-like - NRPS-like	NRPS-like
ADYW01000016.1.region001	GL384205.1.region001	0.03156571090221405	0.9378649592399597	0.9583333134651184	0.9684342741966248	0.8888888955116272	0.042274657636880875	0.009255411103367805	25	3	NRPS - NRPS	NRPS
NKHQ01000006.1.region001	NKHR01000004.1.region001	0.21990051865577698	0.6085551977157593	0.8727272748947144	0.7800995111465454	0.7704917788505554	0.1846955418586731	0.25950610637664795	63	14	NRPS - NRPS	NRPS
c00829_NODE_82...region001	c04407_NODE_44...region001	0.28585535287857056	0.5100025534629822	0.75	0.7141446471214294	0.6666666865348816	0.34972676634788513	0.23795180022716522	3	1	NRPS-like - NRPS-like	NRPS-like
AHCD02000142.1.region001	AHCD03000043.1.region002	0.0	1.0	1.0	1.0	1.0	0.0	0.0	35	1	NRPS-like - NRPS-like	NRPS-like
MKGR01000013.1.region001	NKHR01000003.1.region001	0.14058564603328705	0.7385930418968201	0.8571428656578064	0.8594143390655518	0.7931034564971924	0.14058564603328705	0.0	26	0	NRPS - T1PKS.NRPS	
ADXX01000073.1.region001	GL383169.1.region001	0.0634322464466095	0.8771591782569885	1.0	0.9365677237510681	1.0	0.04531560093164444	0.07701973617076874	9	3	NRPS - NRPS	NRPS
ADZO01000045.1.region001	GL383923.1.region001	0.010044564493000507	0.9800117611885071	1.0	0.9899554252624512	1.0	0.01638850010931492	0.0	19	3	NRPS - NRPS	NRPS
GL383635.1.region001	GL384205.1.region001	0.03208601474761963	0.9368574619293213	0.9583333134651184	0.9679139852523804	0.8888888955116272	0.04389803484082222	0.0074776336550712585	25	3	NRPS - NRPS	NRPS
AMLN01000013.1.region001	CP006784.1.region003	0.2477242797613144	0.5659187436103821	0.5526315569877625	0.7522757053375244	0.5952380895614624	0.39935800433158875	0.01485819648951292	43	7	T1PKS.NRPS - T1PKS.NRPS	T1PKS.NRPS
ADZO01000045.1.region001	GL383465.1.region001	0.04318225383758545	0.9155002236366272	1.0	0.9568177461624146	1.0	0.045384082943201065	0.03987950459122658	18	3	NRPS - NRPS	NRPS
c02000_NODE_20...region001	c02153_NODE_21...region001	0.12699858844280243	0.7621314525604248	0.75	0.8730013966560364	0.6666666865348816	0.12699858844280243	0.0	3	0	NRPS-like - NRPS-like	NRPS-like
ADYP01000021.1.region001	GL384605.1.region002	0.0198823269456625	0.9606306552886963	0.9583333134651184	0.980117678642273	0.8888888955116272	0.006490262690931559	0.046666454523801804	24	3	NRPS - NRPS	NRPS
MKGQ01000012.1.region001	NJCX01000008.1.region001	0.10901210457086563	0.7938594222068787	1.0	0.8909878730773926	0.9852941036224365	0.09963031113147736	0.14829836785793304	67	4	NRPS - NRPS	NRPS
AP012280.1.region011	CP006853.1.region002	0.023625841364264488	0.9533064961433411	0.9800000190734863	0.9763741493225098	0.9454545378684998	0.025151684880256653	0.0026455025654286146	55	1	NRPS-like - NRPS-like	NRPS-like
c01097_NODE_10...region001	c01295_NODE_12...region001	0.25882047414779663	0.5493471026420593	1.0	0.7411795258522034	1.0	0.0	0.25882047414779663	0	3	NRPS - NRPS	NRPS
ARBB01000004.1.region002	AXVR01000041.1.region001	0.2644526958465576	0.5410298109054565	0.6333333253860474	0.7355473041534424	0.5249999761581421	0.3705151677131653	0.12808667123317719	36	7	NRPS - terpene.NRPS	
ADXW01000032.1.region001	ADYO01000023.1.region001	0.031194517388939857	0.9385840892791748	1.0	0.9688054919242859	1.0	0.025134414434432983	0.040284670889377594	18	3	NRPS - NRPS	NRPS
c02558_NODE_25...region001	c03608_NODE_36...region001	0.24251239001750946	0.5737874507904053	0.6666666865348816	0.7574875950813293	0.5	0.6176470518112183	0.05494505539536476	2	1	NRPS-like - NRPS-like	NRPS-like
JAAHGU010000028.region001	JAAHGX010000029.region001	0.00361266010440886	0.9927877187728882	1.0	0.9963873624801636	1.0	0.007816482335329056	0.0	55	16	T1PKS.T3PKS.PKS-like.transAT-PKS.NRPS - T1PKS.T3PKS.PKS-like.transAT-PKS.NRPS	T1PKS.T3PKS.PKS-like.transAT-PKS.NRPS
GL383810.1.region001	GL384611.1.region001	0.02482987567782402	0.9509567618370056	1.0	0.9751701354980469	1.0	0.01731419935822487	0.039861228317022324	24	3	NRPS - NRPS	NRPS
c01856_NODE_18...region001	c05093_NODE_50...region001	0.15061496198177338	0.721454918384552	1.0	0.8493850231170654	1.0	0.025615384802222252	0.21311475336551666	2	1	NRPS-like - NRPS-like	NRPS-like
ARHR01000065.1.region001	KB897386.1.region001	0.0	1.0	1.0	1.0	1.0	0.0	0.0	33	1	NRPS-like - NRPS-like	NRPS-like
ADXZ01000053.1.region001	GL383264.1.region001	0.0529463030397892	0.8969107270240784	0.9473684430122375	0.9470536708831787	0.8636363744735718	0.05640936642885208	0.04717452824115753	20	3	NRPS - NRPS	NRPS
AP012280.1.region012	QOLE01000002.1.region002	0.026051342487335205	0.9485759735107422	0.9516128897666931	0.9739486575126648	0.9295774698257446	0.03173413500189781	0.007013986818492413	67	5	phenazine.NRPS - phenazine.NRPS	phenazine.NRPS
AE004091.2.region005	FM209186.1.region010	0.05202730372548103	0.8986522555351257	0.9512194991111755	0.9479727149009705	0.9166666865348816	0.06564080715179443	0.011186777614057064	48	4	NRPS - NRPS	NRPS
c05918_NODE_59...region001	c05988_NODE_59...region001	0.12760783731937408	0.7610680460929871	0.6666666865348816	0.8723921775817871	0.5	0.12760783731937408	0.0	2	0	NRPS-like - NRPS-like	NRPS-like
ABYX02000001.1.region026	JNLT01000009.1.region004	0.09896104037761688	0.8118712306022644	0.7692307829856873	0.9010389447212219	0.7586206793785095	0.16236798465251923	0.03555408865213394	20	5	T1PKS.NRPS - T1PKS.NRPS	T1PKS.NRPS
AP012280.1.region008	QOLE01000001.1.region004	0.011720551177859306	0.976696252822876	1.0	0.9882794618606567	1.0	0.012384286150336266	0.010199491865932941	55	6	NRPS - NRPS	NRPS
c01057_NODE_10...region001	c01558_NODE_15...region001	0.2834472954273224	0.5134477615356445	0.8333333134651184	0.7165526747703552	0.800000011920929	0.33047911524772644	0.22465753555297852	5	1	NRPS - NRPS-like	
BDCL01000002.1.region004	c00031_gi1015...region002	0.21893636882305145	0.6100603938102722	0.2857142984867096	0.7810636162757874	0.25	0.38735684752464294	0.11941517889499664	26	11	NRPS - NRPS	NRPS
ADXZ01000053.1.region001	ADZF01000026.1.region001	0.012147774919867516	0.9758520126342773	1.0	0.9878522157669067	1.0	0.011323546059429646	0.013452804647386074	19	3	NRPS - NRPS	NRPS
